City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
89,Hobart,90,AU,2021-05-29 17:11:50,76,-42.8794,147.3294,46.26,1.99
90,Asau,81,RO,2021-05-29 17:13:15,89,46.4333,26.4,61.72,2.26
91,Avera,76,US,2021-05-29 17:13:15,40,33.194,-82.5271,83.71,14.12
92,Salalah,75,OM,2021-05-29 17:12:54,89,17.0151,54.0924,84.29,8.05
93,Port Alfred,78,ZA,2021-05-29 17:13:16,65,-33.5906,26.891,64.35,33.33
94,Roma,90,US,2021-05-29 17:10:04,66,43.2128,-75.4557,58.86,10.36
95,San Antero,100,CO,2021-05-29 17:13:16,80,9.3741,-75.7589,81.21,5.86
96,Avarua,20,CK,2021-05-29 17:13:17,73,-21.2078,-159.775,71.65,3.44
97,Mayenne,100,FR,2021-05-29 17:13:17,73,48.3333,-0.6667,67.44,6.67
98,Luderitz,54,NA,2021-05-29 17:13:17,64,-26.6481,15.1594,63.72,19.35
99,Havoysund,97,NO,2021-05-29 17:13:18,88,70.9963,24.6622,41.88,21.03
100,Lagarto,69,BR,2021-05-29 17:13:18,45,-10.9172,-37.65,80.89,12.44
101,Airai,87,TL,2021-05-29 17:13:18,93,-8.9266,125.4092,56.98,2.91
102,Ostrovnoy,96,RU,2021-05-29 17:13:19,78,68.0531,39.5131,35.73,17.98
103,Guerrero Negro,82,MX,2021-05-29 17:13:19,65,27.9769,-114.0611,65.68,16.04
104,Vanimo,94,PG,2021-05-29 17:13:20,90,-2.6741,141.3028,78.12,3.49
105,Thinadhoo,96,MV,2021-05-29 17:13:20,73,0.5333,72.9333,83.86,20.07
106,Joshimath,69,IN,2021-05-29 17:13:20,89,30.5667,79.5667,66.97,0.81
107,Hervey Bay,98,AU,2021-05-29 17:13:21,67,-25.2986,152.8535,60.04,3.0
108,Santa Cruz Do Sul,56,BR,2021-05-29 17:11:13,58,-29.7175,-52.4258,70.99,7.74
109,Khatanga,98,RU,2021-05-29 17:13:21,84,71.9667,102.5,36.34,9.89
110,Valdemarpils,6,LV,2021-05-29 17:13:21,54,57.3707,22.5919,54.82,12.17
111,Bengkulu,100,ID,2021-05-29 17:13:22,88,-3.8004,102.2655,75.7,4.92
112,Atuona,12,PF,2021-05-29 17:13:22,71,-9.8,-139.0333,78.64,11.01
113,Plerin,0,FR,2021-05-29 17:13:23,80,48.5425,-2.7798,65.68,3.0
114,Kaitangata,100,NZ,2021-05-29 17:13:23,94,-46.2817,169.8464,49.03,12.26
115,Edd,50,ER,2021-05-29 17:13:23,48,13.9297,41.6925,93.63,10.78
116,Norman Wells,100,CA,2021-05-29 17:13:24,67,65.282,-126.8329,37.98,2.95
117,Inirida,65,CO,2021-05-29 17:13:24,71,3.8653,-67.9239,86.45,0.38
118,Fortuna,90,US,2021-05-29 17:11:24,90,40.5982,-124.1573,52.66,4.61
119,Douentza,71,ML,2021-05-29 17:13:25,13,14.9951,-2.9517,107.02,14.56
120,Vitim,99,RU,2021-05-29 17:13:25,66,59.4511,112.5578,45.55,6.93
121,Nikolskoye,2,RU,2021-05-29 17:13:25,48,59.7035,30.7861,53.49,7.45
122,Longyearbyen,75,SJ,2021-05-29 17:13:26,69,78.2186,15.6401,35.44,9.22
123,Kulhudhuffushi,36,MV,2021-05-29 17:13:26,72,6.6221,73.07,83.68,21.72
124,Rawson,0,AR,2021-05-29 17:13:23,39,-43.3002,-65.1023,48.34,27.42
125,Gat,0,IL,2021-05-29 17:13:27,35,31.61,34.7642,76.82,7.49
